,day,number_of_drivers,date,supply_share
0,0.0,20.0,2012-07-01,1.0
1,5.2447553147103285,20.0,2012-07-05,1.0
2,8.304189245906768,19.924243580211293,2012-07-08,0.9962121790105647
3,10.489510629420655,19.621214433149856,2012-07-10,0.9810607216574928
4,13.11188828677582,19.015152671120383,2012-07-13,0.9507576335560192
5,15.297209670289712,18.18181818181818,2012-07-15,0.909090909090909
6,18.356643601486144,17.272727272727273,2012-07-18,0.8636363636363636
7,22.290210087518894,16.74242539839311,2012-07-22,0.8371212699196555
8,26.223776573551643,16.06060721657493,2012-07-26,0.8030303608287465
9,30.594399333425656,15.454545454545451,2012-08-01,0.7727272727272726
10,34.965042100453445,14.924243580211291,2012-08-05,0.7462121790105646
11,39.77272113416873,14.469698125665838,2012-08-10,0.7234849062832919
12,44.14336390119652,14.166668978604402,2012-08-14,0.7083334489302201
13,48.95104293491181,13.863636363636363,2012-08-19,0.6931818181818181
14,53.75874197578086,13.636363636363637,2012-08-24,0.6818181818181819
15,59.00349729049118,13.409090909090908,2012-08-29,0.6704545454545454
16,64.6853088790428,13.257578069513494,2012-09-05,0.6628789034756747
17,70.80419674858943,13.030305342240766,2012-09-11,0.6515152671120383
18,76.92308461813604,12.878789034756746,2012-09-17,0.6439394517378373
19,83.04195248052893,12.727272727272728,2012-09-23,0.6363636363636365
20,89.16084035007559,12.5,2012-09-29,0.625
21,95.27972821962224,12.348487160422584,2012-10-05,0.6174243580211292
22,102.2727286368514,12.196970852938565,2012-10-12,0.6098485426469282
23,108.82867278023932,12.045454545454543,2012-10-19,0.6022727272727272
24,115.82167319746851,11.89394170587713,2012-10-26,0.5946970852938566
25,122.81469362185145,11.818181818181818,2012-11-03,0.5909090909090909
26,130.24475031292192,11.666668978604402,2012-11-10,0.5833334489302201
27,138.5489595659824,11.59090909090909,2012-11-19,0.5795454545454545
28,145.97901625705288,11.515152671120385,2012-11-26,0.5757576335560193
29,155.59441433879098,11.439396251331676,2012-12-06,0.5719698125665837
30,164.33565985853903,11.287879943847656,2012-12-14,0.5643939971923828
31,173.07694539259458,11.136363636363637,2012-12-23,0.5568181818181819
32,181.3811146313476,11.060607216574928,2013-01-01,0.5530303608287463
33,189.6853238844081,11.060607216574928,2013-01-10,0.5530303608287463
34,197.9895331374686,10.98485079678622,2013-01-18,0.549242539839311
35,215.9091004579597,10.8333344893022,2013-02-06,0.54166672446511
36,243.006989579194,10.757578069513494,2013-03-03,0.5378789034756747
37,276.6608628581236,10.681818181818182,2013-04-07,0.5340909090909091
38,318.6189053758062,10.606061762029476,2013-05-19,0.5303030881014739
39,345.2797182160454,10.530305342240768,2013-06-15,0.5265152671120383
40,381.9930054190176,10.530305342240768,2013-07-22,0.5265152671120383
41,434.4405585661209,10.454545454545457,2013-09-14,0.5227272727272728
42,479.8951313031488,10.378789034756746,2013-10-30,0.5189394517378373
43,499.5629637333125,10.30303261496804,2013-11-20,0.515151630748402
