,day,number_of_drivers,supply_share,date
0,0.0,0.0,0.0,2012-07-01 00:00:00
1,3.761755485893417,7.575757575757576,0.0075757575757575,2012-07-04 00:00:00
2,7.314527744783503,18.93939393939394,0.0189393939393939,2012-07-07 00:00:00
3,10.240340756024684,35.35351608738755,0.0353535160873875,2012-07-10 00:00:00
4,12.539184952978058,55.555517023259945,0.0555555170232599,2012-07-13 00:00:00
5,14.211079468921437,77.02018275405422,0.0770201827540542,2012-07-14 00:00:00
6,15.464997964219238,99.74745548132697,0.0997474554813269,2012-07-15 00:00:00
7,16.927899686520373,122.47472820859969,0.1224747282085996,2012-07-17 00:00:00
8,18.599794202463748,143.93939393939394,0.1439393939393939,2012-07-19 00:00:00
9,22.36154968835717,135.1009715687145,0.1351009715687145,2012-07-22 00:00:00
10,26.123305174250586,140.15151515151516,0.1401515151515151,2012-07-26 00:00:00
11,30.094043887147333,133.83836457223603,0.133838364572236,2012-07-30 00:00:00
12,33.85579937304075,137.6262433601148,0.1376262433601148,2012-08-04 00:00:00
13,37.82654765257641,141.41412214799362,0.1414141221479936,2012-08-08 00:00:00
14,41.79728636547316,138.88885035659328,0.1388888503565933,2012-08-12 00:00:00
15,45.7680250783699,138.88885035659328,0.1388888503565933,2012-08-16 00:00:00
16,49.73877335790557,138.88885035659328,0.1388888503565933,2012-08-20 00:00:00
17,53.50052884379898,145.2020009358724,0.1452020009358724,2012-08-24 00:00:00
18,57.47127712333464,141.41412214799362,0.1414141221479936,2012-08-27 00:00:00
19,61.44200626959247,145.2020009358724,0.1452020009358724,2012-08-31 00:00:00
20,65.41275454912812,142.67672914447206,0.142676729144472,2012-09-05 00:00:00
21,69.3835028286638,142.67672914447206,0.142676729144472,2012-09-09 00:00:00
22,73.14525831455722,146.46460793235087,0.1464646079323508,2012-09-13 00:00:00
23,76.90701380045064,141.41412214799362,0.1414141221479936,2012-09-17 00:00:00
24,80.87774294670847,146.46460793235087,0.1464646079323508,2012-09-21 00:00:00
25,84.84849122624412,145.2020009358724,0.1452020009358724,2012-09-25 00:00:00
26,88.81923950577978,145.2020009358724,0.1452020009358724,2012-09-29 00:00:00
27,92.78996865203762,148.9898797237512,0.1489898797237512,2012-10-03 00:00:00
28,96.76071693157328,146.46460793235087,0.1464646079323508,2012-10-07 00:00:00
29,100.31347962382443,138.88885035659328,0.1388888503565933,2012-10-10 00:00:00
30,104.07523510971784,147.72727272727275,0.1477272727272727,2012-10-14 00:00:00
31,108.04598338925354,143.93939393939394,0.1439393939393939,2012-10-18 00:00:00
32,111.80773887514694,147.72727272727275,0.1477272727272727,2012-10-22 00:00:00
33,115.7784871546826,148.9898797237512,0.1489898797237512,2012-10-26 00:00:00
34,119.74921630094045,146.46460793235087,0.1464646079323508,2012-10-30 00:00:00
35,123.7199645804761,145.2020009358724,0.1452020009358724,2012-11-04 00:00:00
36,127.69071286001171,146.46460793235087,0.1464646079323508,2012-11-08 00:00:00
37,131.6614420062696,147.72727272727275,0.1477272727272727,2012-11-12 00:00:00
38,135.63219028580525,148.9898797237512,0.1489898797237512,2012-11-16 00:00:00
39,139.6029385653409,148.9898797237512,0.1489898797237512,2012-11-20 00:00:00
40,143.57366771159874,147.72727272727275,0.1477272727272727,2012-11-24 00:00:00
41,147.5444159911344,148.9898797237512,0.1489898797237512,2012-11-28 00:00:00
42,151.51516427067006,145.2020009358724,0.1452020009358724,2012-12-02 00:00:00
43,155.4858934169279,145.2020009358724,0.1452020009358724,2012-12-05 00:00:00
44,159.45664169646352,145.2020009358724,0.1452020009358724,2012-12-09 00:00:00
45,163.21839718235697,150.25248672022963,0.1502524867202296,2012-12-13 00:00:00
46,167.18914546189262,147.72727272727275,0.1477272727272727,2012-12-17 00:00:00
47,170.95090094778604,151.51515151515153,0.1515151515151515,2012-12-21 00:00:00
48,174.71265643367946,145.2020009358724,0.1452020009358724,2012-12-25 00:00:00
49,178.6833855799373,148.9898797237512,0.1489898797237512,2012-12-29 00:00:00
50,182.6541338594729,148.9898797237512,0.1489898797237512,2013-01-03 00:00:00
51,186.6248821390086,145.2020009358724,0.1452020009358724,2013-01-07 00:00:00
52,190.59561128526647,145.2020009358724,0.1452020009358724,2013-01-11 00:00:00
53,194.56635956480213,145.2020009358724,0.1452020009358724,2013-01-15 00:00:00
54,198.53710784433773,147.72727272727275,0.1477272727272727,2013-01-19 00:00:00
