,Month,Number_of_drivers
0,0.0,0.0
1,0.9302317763280492,444.0
2,1.9094246532790495,665.0
3,2.8886152890371264,739.0
4,3.8678081659881256,813.0
5,4.847001042939125,887.0
6,5.826191678697204,1035.0
7,6.805384555648203,1183.0
8,7.784577432599205,1257.0
9,8.76376806835728,1553.0
10,9.74296094530828,1701.0
11,10.72215382225928,1996.0
12,11.701344458017358,2292.0
13,12.680539576161284,2514.0
14,13.659730211919358,2588.0
15,14.638920847677433,2736.0
16,15.569154865198405,3253.0
17,16.499388882719384,3845.0
18,17.42961841785451,4362.0
19,18.359852435375483,4880.0
20,19.33904307113356,5176.0
21,20.31823818927748,5471.0
22,21.24846772441261,6063.0
23,22.227662842556533,6433.0
24,23.206853478314613,6285.0
25,24.137087495835587,6654.0
26,25.06731703097071,7246.0
27,25.458996871182617,8577.0
28,25.94858994786873,9908.0
29,26.487148607563643,11165.0
30,27.025702784872703,12348.0
31,27.711135781664776,13457.0
32,28.49449097970275,14344.0
33,29.37576389660077,15083.0
34,30.20807571287584,15970.0
35,31.13830973039681,16562.0
36,32.01958264729484,17227.0
37,32.75397674470986,18189.0
38,33.48837084212488,19150.0
39,34.320682658399946,19889.0
40,35.20195557529797,20555.0
41,35.88739305447589,21664.0
42,36.67074377012801,22551.0
43,37.503060068788926,23364.0
44,38.28641078444105,24325.0
45,38.97184826361897,25360.0
46,39.55936354155099,26617.0
47,40.24479653834305,27726.0
48,41.12606945524107,28466.0
49,41.909424653279046,29353.0
