,Year,number_of_drivers,date,supply_share
0,2012.0,0.0,2012-01-01 00:00:00,0.0
1,2012.2579939817451,0.0245684263730985,2012-03-04 00:00:00,0.003135107861011078
2,2012.5159870550287,0.0245684263730985,2012-06-08 00:00:00,0.003135107861011078
3,2012.7938263782696,0.0245684263730985,2012-09-19 00:00:00,0.003135107861011078
4,2013.071664793049,0.0245684263730985,2013-01-26 00:00:00,0.003135107861011078
5,2013.369349457785,0.0495275894379543,2013-04-15 00:00:00,0.006320076533427444
6,2013.6868803724772,0.0495275894379543,2013-08-11 00:00:00,0.006320076533427444
7,2014.024255720204,0.0994436305577716,2014-01-09 00:00:00,0.01268972229456762
8,2014.341786634896,0.1493596716775911,2014-04-05 00:00:00,0.01905936805570808
9,2014.6791619826224,0.2242348758622685,2014-08-08 00:00:00,0.028613982489265173
10,2014.996692897315,0.3240692431117996,2014-12-15 00:00:00,0.04135356559523836
11,2015.314222903546,0.4738196514811523,2015-03-25 00:00:00,0.06046279446235228
12,2015.6119075682816,0.623570059850503,2015-07-13 00:00:00,0.07957202332946593
13,2015.9095922330173,0.8481956724045309,2015-11-02 00:00:00,0.10823586663013667
14,2016.1874315562584,1.0977804480234148,2016-02-08 00:00:00,0.1400846786032238
15,2016.4652699710373,1.3723221016972622,2016-05-20 00:00:00,0.175118167665035
16,2016.7034177028256,1.6718229184359632,2016-08-17 00:00:00,0.21333662539926226
17,2016.9614116845712,2.021239776294486,2016-11-21 00:00:00,0.2579247288946303
18,2017.19955941636,2.370658919162901,2017-02-13 00:00:00,0.3025131239736906
19,2017.3781702152012,2.7450349400862795,2017-04-18 00:00:00,0.350286196141475
20,2017.5964716970332,3.11941096100966,2017-07-08 00:00:00,0.39805926830925964
21,2017.814774995788,3.4937869819330367,2017-09-27 00:00:00,0.4458323404770438
22,2018.03307647762,3.8432038397915593,2018-01-12 00:00:00,0.49042044397241175
23,2018.2910704593653,4.167663819595118,2018-03-16 00:00:00,0.5318238703790557
24,2018.549062624188,4.492122656893731,2018-06-20 00:00:00,0.5732271509938534
25,2018.82690285589,4.791623473632433,2018-10-02 00:00:00,0.6114456087280808
26,2019.104741270669,5.091124290371137,2019-01-08 00:00:00,0.6496640664623085
27,2019.402425935405,5.365667086549929,2019-04-30 00:00:00,0.6846977013159656
28,2019.7199568500976,5.590292699103958,2019-08-23 00:00:00,0.7133615446166365
29,2020.057332197824,5.789959148593128,2020-01-21 00:00:00,0.7388404192448905
30,2020.39470754555,5.914751536402569,2020-04-24 00:00:00,0.7547648252314341
31,2020.751929143233,5.989626740587244,2020-09-04 00:00:00,0.7643194396649908
32,2021.109150740916,6.089459965331831,2021-02-10 00:00:00,0.7770588769791181
33,2021.466372338599,6.214252353141273,2021-05-20 00:00:00,0.7929832829656617
34,2021.823593936282,6.314085577885857,2021-10-01 00:00:00,0.8057227202797886
35,2022.180815533965,6.4139199451353885,2022-02-06 00:00:00,0.8184623033857619
36,2022.538037131648,6.5137531698799735,2022-06-16 00:00:00,0.831201740699889
37,2022.8952587293309,6.613586394624559,2022-10-27 00:00:00,0.843941178014016
38,2023.2723265769705,6.688461598809236,2023-03-09 00:00:00,0.8534957924475731
39,2023.6097019246968,6.788295966058769,2023-07-13 00:00:00,0.8662353755535465
40,2023.96692352238,6.888129190803354,2023-11-23 00:00:00,0.8789748128676735
41,2024.3439913700197,6.963004394988029,2024-04-06 00:00:00,0.8885294273012303
42,2024.721059217659,7.037879599172705,2024-08-23 00:00:00,0.8980840417347872
43,2025.098125248376,7.11275480335738,2025-01-06 00:00:00,0.907638656168344
44,2025.4553468460588,7.187630007542055,2025-05-16 00:00:00,0.9171932706019008
45,2025.8522609436552,7.262505211726731,2025-10-11 00:00:00,0.9267478850354578
46,2026.229326974372,7.337380415911408,2026-02-24 00:00:00,0.9363024994690148
47,2026.606394822012,7.412255620096084,2026-07-11 00:00:00,0.9458571139025717
48,2026.9834626696515,7.487130824280759,2026-11-29 00:00:00,0.9554117283361284
49,2027.3406842673344,7.562006028465436,2027-04-04 00:00:00,0.9649663427696854
50,2027.737596548008,7.6119232120902,2027-08-29 00:00:00,0.9713361343226719
51,2028.0948181456909,7.661839253210021,2028-01-05 00:00:00,0.9777057800838125
52,2028.4917304263645,7.686798416274877,2028-05-30 00:00:00,0.980890748756229
53,2028.848952024047,7.736714457394695,2028-10-10 00:00:00,0.9872603945173691
54,2029.2061736217304,7.786631641019462,2029-02-15 00:00:00,0.993630186070356
55,2029.5633952194128,7.81158966157937,2029-06-26 00:00:00,0.996815008950926
56,2029.9404630670529,7.836548824644227,2029-11-13 00:00:00,0.9999999776233426
