,hex_address,value
0,871969520ffffff,221.07514450867052
1,871969c9dffffff,228.75932203389831
2,871969c9bffffff,163.6132530120482
3,871969c9cffffff,213.68312757201647
4,87196824dffffff,190.33039647577093
5,871969514ffffff,179.66666666666666
6,871968269ffffff,200.9011976047904
7,871969533ffffff,214.13793103448276
8,871969535ffffff,162.05584415584417
9,871969521ffffff,220.08457711442787
10,871969532ffffff,182.33906633906633
11,871969536ffffff,182.16543209876542
12,87196826bffffff,204.05044510385756
13,871969530ffffff,174.6602870813397
14,871969524ffffff,180.75757575757575
15,871969c9affffff,181.84357541899442
16,871969534ffffff,159.66171003717471
17,871968249ffffff,187.85897435897436
18,871969504ffffff,176.3945945945946
19,871968241ffffff,182.11111111111111
20,871969c98ffffff,201.67441860465115
21,871969522ffffff,176.90070921985816
22,871969526ffffff,168.14899328859062
23,871969c9effffff,185.53731343283582
24,871969531ffffff,182.97196261682242
25,871969525ffffff,195.6267605633803
26,871969c99ffffff,194.90594059405942
27,87196826dffffff,191.09230769230768
28,871969523ffffff,185.77941176470588
29,871969c8affffff,210.10119047619048
30,871969c93ffffff,226.9090909090909
31,871969506ffffff,183.19277108433735
32,87196824cffffff,183.75
33,871969cabffffff,180.0
34,871969c91ffffff,224.13636363636363
35,871969c83ffffff,239.84848484848484
36,871968268ffffff,266.0
37,871968248ffffff,201.1764705882353
38,871969c8bffffff,221.14814814814815
39,87196826cffffff,201.2
40,87196826affffff,212.38888888888889
41,871969c88ffffff,180.0
42,871968244ffffff,180.0
43,871969c89ffffff,180.0
44,871969c8dffffff,180.0
45,87196826effffff,180.0
46,871969c8cffffff,180.0
47,871968245ffffff,180.0
48,871969c81ffffff,0.0
49,871969cd0ffffff,0.0
50,871969c8effffff,0.0
51,871969cd6ffffff,0.0
52,871968263ffffff,0.0
53,871968240ffffff,0.0
54,871969cd2ffffff,0.0
